subject,body,category
Regarding Secrecy Issue 1,Let's ensure this deal remains under wraps until final approval.,Secrecy
Regarding Secrecy Issue 2,Let's ensure this deal remains under wraps until final approval.,Secrecy
Regarding Secrecy Issue 3,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Secrecy Issue 4,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Secrecy Issue 5,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Secrecy Issue 6,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Secrecy Issue 7,Please keep this project confidential. Do not share with anyone outside the team.,Secrecy
Regarding Secrecy Issue 8,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Secrecy Issue 9,Let's ensure this deal remains under wraps until final approval.,Secrecy
Regarding Secrecy Issue 10,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Secrecy Issue 11,Let's ensure this deal remains under wraps until final approval.,Secrecy
Regarding Secrecy Issue 12,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Secrecy Issue 13,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Secrecy Issue 14,Let's ensure this deal remains under wraps until final approval.,Secrecy
Regarding Secrecy Issue 15,Let's ensure this deal remains under wraps until final approval.,Secrecy
Regarding Secrecy Issue 16,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Secrecy Issue 17,Let's ensure this deal remains under wraps until final approval.,Secrecy
Regarding Secrecy Issue 18,Please keep this project confidential. Do not share with anyone outside the team.,Secrecy
Regarding Secrecy Issue 19,Let's ensure this deal remains under wraps until final approval.,Secrecy
Regarding Secrecy Issue 20,"This information must remain between us, no external disclosure allowed.",Secrecy
Regarding Market Manipulation / Misconduct Issue 1,"If we adjust the numbers slightly, the market will respond more favorably.",Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 2,Let's release this report later to influence investor sentiment.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 3,Let's release this report later to influence investor sentiment.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 4,"If we adjust the numbers slightly, the market will respond more favorably.",Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 5,Let's release this report later to influence investor sentiment.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 6,Let's release this report later to influence investor sentiment.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 7,"If we adjust the numbers slightly, the market will respond more favorably.",Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 8,"If we adjust the numbers slightly, the market will respond more favorably.",Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 9,Let's release this report later to influence investor sentiment.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 10,We should delay announcing this to maintain stock prices.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 11,Let's release this report later to influence investor sentiment.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 12,"If we adjust the numbers slightly, the market will respond more favorably.",Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 13,"If we adjust the numbers slightly, the market will respond more favorably.",Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 14,Let's release this report later to influence investor sentiment.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 15,Let's release this report later to influence investor sentiment.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 16,"If we adjust the numbers slightly, the market will respond more favorably.",Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 17,Let's release this report later to influence investor sentiment.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 18,We should delay announcing this to maintain stock prices.,Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 19,"If we adjust the numbers slightly, the market will respond more favorably.",Market Manipulation / Misconduct
Regarding Market Manipulation / Misconduct Issue 20,We should delay announcing this to maintain stock prices.,Market Manipulation / Misconduct
Regarding Market Bribery Issue 1,Ensure the client gets the 'gift' we promised before finalizing the deal.,Market Bribery
Regarding Market Bribery Issue 2,Ensure the client gets the 'gift' we promised before finalizing the deal.,Market Bribery
Regarding Market Bribery Issue 3,There might be incentives offered for securing this contract.,Market Bribery
Regarding Market Bribery Issue 4,Ensure the client gets the 'gift' we promised before finalizing the deal.,Market Bribery
Regarding Market Bribery Issue 5,The vendor hinted at special benefits if we approve their bid.,Market Bribery
Regarding Market Bribery Issue 6,There might be incentives offered for securing this contract.,Market Bribery
Regarding Market Bribery Issue 7,The vendor hinted at special benefits if we approve their bid.,Market Bribery
Regarding Market Bribery Issue 8,There might be incentives offered for securing this contract.,Market Bribery
